-2115,2908,-2930
-2047,2885,-3001
-2007,2864,-3042
-1944,2868,-3099
-1858,2908,-3152
-1778,2933,-3198
-1711,2936,-3230
-1648,2956,-3264
-1570,2960,-3300
-1507,2982,-3361
-1461,3004,-3378
-1384,2992,-3410
-1329,3008,-3427
-1278,3014,-3466
-1197,3033,-3508
-1141,3060,-3518
-1072,3079,-3552
-1017,3094,-3569
-954,3093,-3574
-932,3125,-3601
-851,3133,-3642
-794,3144,-3647
-722,3157,-3685
-660,3191,-3707
-577,3196,-3733
-494,3217,-3737
-438,3221,-3783
-340,3230,-3789
-248,3246,-3823
-158,3237,-3830
-86,3267,-3830
-247,3267,-3881
9,3270,-3892
103,3278,-3912
217,3290,-3906
304,3326,-3937
407,3345,-3955
507,3358,-3970
612,3375,-3966
712,3377,-4004
804,3407,-3990
885,3400,-4008
994,3431,-4009
1087,3445,-4014
1180,3451,-4022
1278,3483,-4011
1391,3484,-4011
1476,3491,-4023
1579,3514,-4015
1681,3515,-4027
1763,3531,-4000
1852,3526,-3997
1937,3518,-3993
2033,3541,-3997
2126,3544,-3991
2211,3503,-3984
2299,3488,-3977
2367,3509,-3979
2453,3479,-3977
2523,3487,-3948
2598,3478,-3944
2683,3494,-3926
2746,3490,-3920
2822,3480,-3898
2897,3503,-3869
2981,3513,-3851
3033,3530,-3851
2857,3530,-3838
3113,3537,-3789
3209,3550,-3792
3292,3568,-3736
3344,3576,-3718
3402,3582,-3697
3480,3589,-3650
3542,3608,-3610
3624,3592,-3591
3696,3609,-3568
3733,3615,-3532
3793,3614,-3490
3845,3622,-3464
3923,3621,-3424
3965,3609,-3397
4037,3603,-3369
4090,3624,-3333
4152,3603,-3286
4198,3602,-3243
4281,3610,-3200
4345,3606,-3163
4397,3606,-3122
4456,3605,-3066
4547,3626,-3015
4601,3604,-2964
4666,3609,-2909
4740,3595,-2853
4786,3596,-2807
4878,3593,-2753
4948,3577,-2695
5003,3574,-2626
5066,3564,-2571
5117,3574,-2507
5192,3561,-2457
5248,3566,-2392
5322,3544,-2392
5368,3544,-2333
5368,3541,-2252
5439,3527,-2193
5493,3523,-2122
5554,3501,-2066
5621,3478,-1999
5677,3459,-1949
5719,3446,-1880
5779,3420,-1806
5840,3386,-1739
5884,3397,-1671
5933,3392,-1603
5982,3373,-1525
6016,3376,-1464
6074,3357,-1402
6118,3359,-1329
6144,3340,-1268
6183,3320,-1195
6216,3344,-1140
6254,3298,-1092
6278,3300,-1034
6313,3253,-967
6334,3241,-925
6373,3242,-866
6383,3230,-797
6432,3228,-738
6443,3216,-691
6480,3195,-614
6496,3197,-556
6511,3167,-530
6543,3163,-442
6554,3164,-387
6586,3139,-320
6599,3138,-248
6634,3117,-189
6661,3134,-189
6661,3134,-112
6667,3120,-37
6685,3095,54
6704,3104,143
6722,3076,228
6738,3075,312
6769,3031,384
6768,3041,474
6782,3044,549
6786,3044,651
6788,3055,745
6789,3031,854
6800,3016,957
6805,3026,1052
6792,3017,1151
6762,3022,1233
6778,3006,1327
6772,3019,1404
6788,3011,1482
6762,2996,1563
6761,2996,1629
6742,2984,1713
6732,2970,1769
6720,2972,1822
6702,2964,1893
6715,2934,1953
6687,2946,2008
6685,2912,2076
6678,2909,2125
6683,2921,2142
6670,2942,2178
6662,2918,2232
6626,2950,2268
6621,2944,2302
6605,2956,2369
6604,2961,2369
6604,2961,2395
6562,2957,2461
6571,2995,2490
6547,2997,2514
6546,3004,2558
6512,3020,2572
6524,3024,2598
6515,3046,2625
6497,3043,2633
6505,3046,2663
6492,3083,2695
6476,3076,2734
6461,3088,2760
6446,3080,2815
6425,3102,2841
6406,3109,2881
6395,3132,2914
6381,3149,2965
6359,3157,2987
6348,3164,3021
6312,3176,3067
6296,3204,3093
6276,3221,3104
6255,3229,3152
6217,3254,3182
6199,3246,3234
6187,3279,3260
6162,3274,3289
6122,3287,3327
6096,3307,3375
6071,3311,3389
6063,3321,3464
6030,3322,3477
6025,3320,3525
5955,3339,3562
5944,3332,3562
5944,3332,3590
5926,3342,3647
5895,3338,3703
5853,3352,3724
5816,3339,3770
5796,3353,3799
5763,3346,3825
5749,3344,3870
5731,3349,3908
5679,3322,3978
5638,3306,4030
5603,3290,4083
5553,3301,4163
5504,3299,4218
5465,3285,4265
5425,3271,4326
5379,3266,4384
5330,3248,4461
5281,3245,4511
5224,3245,4571
5194,3208,4604
5151,3207,4676
5111,3185,4731
5064,3139,4779
5021,3133,4841
4984,3141,4888
4925,3149,4929
4905,3147,4964
4868,3121,4984
4826,3099,5045
4770,3094,5052
4752,3060,5103
4702,3076,5133
4654,3070,5169
4619,3052,5191
4573,3036,5191
4525,3036,5246
4525,3058,5266
4495,3019,5290
4456,3025,5321
4427,3018,5357
4357,3020,5375
4345,3014,5433
4275,3006,5464
4217,2987,5516
4164,2987,5562
4103,2965,5594
4034,2949,5635
